"stopno","name","lat","long"
"23728",NA,51.1433,17.0710385
"17301",NA,51.102688,16.94514
"25145",NA,51.07564,17.096872
"23720",NA,51.1457,17.072947
"24318",NA,51.119255,17.088814
"110654",NA,51.118046,17.030218
"50000042",NA,51.042274,17.072208
"20683",NA,51.123608,17.040516
"11553",NA,51.089867,16.999508
"12201",NA,51.121624,16.993036
"25134",NA,51.069847,17.097666
"21152",NA,51.078552,17.06396
"50395001",NA,51.045216,17.060892
"12108",NA,51.11392,16.9651
"12524",NA,51.129,16.954647
"11552",NA,51.07775,16.983503
"12603",NA,51.135227,16.96908
"16531",NA,51.065083,16.986248
"29530",NA,51.159145,17.132696
"18720",NA,51.17062,16.901838
"21017",NA,51.083702,17.060755
"12506",NA,51.1360115,16.950962
"18113",NA,51.14216,16.9041265
"29130",NA,51.14702,17.117184
"110023",NA,51.11331,17.039682
"12523",NA,51.13009,16.955183
"71951012",NA,51.0393085,16.987034
"16515",NA,51.07518,16.996613
"29517",NA,51.15695,17.096558
"24533",NA,51.102467,17.101978
"24128",NA,51.129513,17.113247
"12104",NA,51.112354,16.988932
"23721",NA,51.1494,17.074562
"21135",NA,51.072273,17.053005
"18510",NA,51.157555,16.92723
"23553",NA,51.156425,17.04431
"25519",NA,51.09189,17.133133
"12529",NA,51.122288,16.974674
"21016",NA,51.083008,17.051474
"11613",NA,51.086086,16.973658
"21136",NA,51.073902,17.053118
"11237",NA,51.07691,17.018354
"20613",NA,51.12137,17.03502
"26307",NA,51.054764,17.032246
"12518",NA,51.122402,16.961758
"26102",NA,51.070393,17.053974
"11236",NA,51.08192,17.023106
"12911",NA,51.12382,16.949812
"12105",NA,51.11424,16.97803
"110005",NA,51.111507,17.027056
"16526",NA,51.063675,17.0022
"23302",NA,51.137188,16.994287
"18005",NA,51.142708,16.89905
"17315",NA,51.097034,16.950926
"12702",NA,51.13053,16.977964
"12157",NA,51.096634,16.975172
"12530",NA,51.120857,16.973656
"17130",NA,51.07263,16.953482
"12510",NA,51.135967,16.960339
"21151",NA,51.07795,17.064753
"20312",NA,51.106594,17.0474
"11651",NA,51.090435,16.992859
"20623",NA,51.11894,17.042002
"20324",NA,51.099533,17.050842
"17137",NA,51.076633,16.977182
"10451",NA,51.112553,17.022888
"12205",NA,51.126545,16.981535
"12528",NA,51.132107,16.956314
"21173",NA,51.0822,17.049362
"17505",NA,51.108887,16.916702
"18002",NA,51.137955,16.936846
"20804",NA,51.116325,17.05546
"20807",NA,51.11488,17.07016
"23558",NA,51.162785,17.045788
"23114",NA,51.13907,17.020735
"26308",NA,51.05438,17.032206
"12129",NA,51.12155,16.947496
"12411",NA,51.136932,16.9475875
"11542",NA,51.097908,17.014616
"10503",NA,51.112995,17.007708
"10005",NA,51.11274,17.02871
"10649",NA,51.117573,17.02548
"10054",NA,51.105576,17.032816
"29926",NA,51.145325,17.148138
"20330",NA,51.102093,17.046577
"23022",NA,51.15012,17.027718
"20619",NA,51.124374,17.034117
"17716",NA,51.12086,16.869993
"11364",NA,51.07773,17.019337
"23734",NA,51.13851,17.058748
"12144",NA,51.119328,16.953001
"29503",NA,51.156235,17.121098
"29506",NA,51.159412,17.121515
"11356",NA,51.08309,17.017427
"12409",NA,51.136467,16.949294
"50000064",NA,51.070366,17.156994
"11712",NA,51.093914,16.978329
"24712",NA,51.10689,17.142899
"10506",NA,51.11278,17.007248
"29129",NA,51.14816,17.114836
"11605",NA,51.094673,16.98048
"11525",NA,51.09404,16.996943
"24134",NA,51.136906,17.0809
"10521",NA,51.117622,17.006397
"10009",NA,51.11086,17.035025
"120622",NA,51.116386,17.041687
"11521",NA,51.09353,17.009626
"25113",NA,51.07696,17.084574
"20617",NA,51.1309,17.036587
"10705",NA,51.130388,17.02792
"16723",NA,51.062668,16.983866
"723964",NA,51.038113,16.968597
"23309",NA,51.16617,16.966688
"21140",NA,51.07676,17.050457
"18122",NA,51.145515,16.875885
"21101",NA,51.094227,17.032763
"18534",NA,51.151756,16.92724
"18704",NA,51.160988,16.905052
"20267",NA,51.09988,17.036211
"11741",NA,51.0875,16.991726
"10504",NA,51.11262,17.0132875
"23722",NA,51.148655,17.075592
"24501",NA,51.106968,17.073166
"11728",NA,51.094154,16.978817
"18511",NA,51.158375,16.916739
"10500",NA,51.113068,17.020864
"10011",NA,51.108727,17.034002
"11232",NA,51.08921,17.028494
"25002",NA,51.09328,17.060196
"29502",NA,51.151215,17.115093
"18014",NA,51.13713,16.9420885
"50000040",NA,51.040527,17.073612
"116408",NA,51.06689,16.995167
"11335",NA,51.09436,17.01617
"11235",NA,51.081444,17.022573
"723973",NA,51.04004,16.969137
"10514",NA,51.11712,17.008125
"21142",NA,51.08828,17.035082
"12100",NA,51.114086,16.98582
"20809",NA,51.113773,17.050909
"12501",NA,51.129986,16.968548
"24519",NA,51.106407,17.105782
"11612",NA,51.084908,16.972319
"16527",NA,51.078205,16.998446
"20920",NA,51.11175,17.06389
"16714",NA,51.05979,16.9746
"26313",NA,51.056885,17.023067
"10513",NA,51.117733,17.00756
"24504",NA,51.10448,17.083828
"11513",NA,51.096527,17.005262
"12406",NA,51.13057,16.967665
"21020",NA,51.08094,17.062128
"24313",NA,51.11362,17.09236
"23005",NA,51.134678,17.01007
"10023",NA,51.113953,17.04012
"12410",NA,51.136375,16.949076
"17115",NA,51.06965,16.969112
"24008",NA,51.13112,17.070932
"23124",NA,51.139267,17.034222
"21178",NA,51.083385,17.033964
"16720",NA,51.056797,16.971394
"24722",NA,51.113945,17.13566
"29519",NA,51.156876,17.099222
"23719",NA,51.146706,17.074272
"25310",NA,51.058926,17.087244
"11304",NA,51.087193,17.01314
"12403",NA,51.12942,16.971716
"17702",NA,51.122334,16.933666
"121007",NA,51.09158,17.040758
"29523",NA,51.16,17.133718
"24513",NA,51.106422,17.099451
"11239",NA,51.07411,17.015799
"29135",NA,51.146564,17.115509
"26346",NA,51.048088,17.016296
"23125",NA,51.144608,17.031313
"21121",NA,51.09719,17.036608
"44725",NA,51.1201275,17.115805
"10366",NA,51.102135,17.029795
"50000062",NA,51.075836,17.1454
"20824",NA,51.111355,17.059908
"18125",NA,51.153046,16.88441
"10273",NA,51.109547,17.021648
"124202",NA,51.114918,17.073269
"40715",NA,51.12418,17.03327
"11401",NA,51.100933,17.007051
"120804",NA,51.116397,17.0551425
"16507",NA,51.0706,16.99874
"12502",NA,51.12879,16.972996
"17306",NA,51.09701,16.94678
"10377",NA,51.103966,17.019968
"18706",NA,51.162525,16.899025
"10244",NA,51.104427,17.021778
"18718",NA,51.17134,16.91468
"25318",NA,51.06357,17.074173
"21156",NA,51.078224,17.068674
"24146",NA,51.134342,17.067856
"20721",NA,51.122913,17.05292
"24133",NA,51.13887,17.08196
"10603",NA,51.1229,17.030138
"10541",NA,51.108803,17.018042
"17101",NA,51.080845,16.967396
"12404",NA,51.12938,16.97167
"20624",NA,51.118977,17.042063
"12138",NA,51.11936,16.951519
"20666",NA,51.123486,17.037807
"#24707",NA,51.114597,17.129383
"16719",NA,51.054726,16.976923
"20268",NA,51.099808,17.035566
"18715",NA,51.192013,16.906132
"25509",NA,51.095158,17.12382
"20281",NA,51.110027,17.048075
"20916",NA,51.1125,17.060741
"11210",NA,51.08615,17.011799
"25141",NA,51.07638,17.090239
"25302",NA,51.077682,17.076216
"25304",NA,51.069565,17.080238
"11404",NA,51.09984,17.002167
"10519",NA,51.12607,17.000769
"26316",NA,51.058193,17.016027
"10511",NA,51.11548,17.015047
"26327",NA,51.063374,17.008976
"26304",NA,51.066154,17.032299
"11745",NA,51.08443,16.990437
"18717",NA,51.19808,16.905748
"110021",NA,51.108612,17.03868
"29538",NA,51.16809,17.112432
"110256",NA,51.10733,17.02295
"18112",NA,51.137753,16.946
"17300",NA,51.10191,16.944294
"24210",NA,51.11363,17.09052
"20622",NA,51.1161,17.0415
"29318",NA,51.143105,17.136637
"16505",NA,51.06617,16.989256
"12317",NA,51.12903,16.98531
"23725",NA,51.14052,17.068298
"18709",NA,51.16758,16.899263
"18512",NA,51.158154,16.917715
"20817",NA,51.10898,17.067183
"24011",NA,51.131752,17.091103
"120628",NA,51.124073,17.04482
"29132",NA,51.146786,17.120429
"726951",NA,51.046345,17.011932
"50395002",NA,51.04447,17.060947
"12527",NA,51.132595,16.956606
"18008",NA,51.143707,16.890673
"11203",NA,51.093784,17.020678
"18402",NA,51.143166,16.950193
"12320",NA,51.132565,16.990412
"18707",NA,51.16367,16.89674
"24709",NA,51.10864,17.1399
"17711",NA,51.12335,16.883087
"12609",NA,51.141262,16.964058
"10704",NA,51.121586,17.030798
"18520",NA,51.146515,16.940271
"18702",NA,51.159546,16.910873
"23003",NA,51.133892,17.018667
"11213",NA,51.079655,17.007765
"11514",NA,51.097065,17.0044295
"12541",NA,51.124023,16.95809
"10032",NA,51.107685,17.039238
"18202",NA,51.144657,16.87227
"120666",NA,51.12351,17.0383005
"120623",NA,51.119106,17.042032
"18016",NA,51.141308,16.909739
"16403",NA,51.06852,17.003384
"18009",NA,51.144947,16.881073
"11361",NA,51.08444,17.021572
"24713",NA,51.102726,17.15553
"29108",NA,51.15164,17.130308
"12126",NA,51.118267,16.956482
"812987",NA,51.056934,16.94555
"24701",NA,51.115425,17.111742
"50000043",NA,51.042782,17.0766545
"17502",NA,51.10872,16.94368
"23126",NA,51.141167,17.03193
"11212",NA,51.083935,17.0104
"23715",NA,51.13914,17.065624
"20616",NA,51.12477,17.034662
"23710",NA,51.14171,17.064598
"10245",NA,51.102352,17.013544
"29501",NA,51.15217,17.116697
"21161",NA,51.085632,17.066868
"12112",NA,51.110672,16.956455
"18110",NA,51.144814,16.882597
"11209",NA,51.0867,17.01233
"24131",NA,51.13398,17.079971
"125007",NA,51.084595,17.072699
"18106",NA,51.142414,16.901857
"12608",NA,51.138718,16.965563
"20266",NA,51.09826,17.0433
"12508",NA,51.130245,16.968376
"24312",NA,51.111195,17.081518
"10053",NA,51.104527,17.03085
"17308",NA,51.096733,16.954683
"20364",NA,51.09853,17.035332
"29531",NA,51.160267,17.120918
"17135",NA,51.0763,16.9721
"12319",NA,51.13066,16.98376
"12905",NA,51.124252,16.951035
"10126",NA,51.104908,17.03753
"20724",NA,51.127594,17.054846
"18743",NA,51.174408,16.907211
"29522",NA,51.155525,17.12836
"12109",NA,51.11237,16.960562
"23557",NA,51.16379,17.046967
"21036",NA,51.089294,17.02918
"23023",NA,51.139675,17.031832
"23534",NA,51.17465,17.010338
"29315",NA,51.144337,17.140911
"11351",NA,51.086067,17.012756
"723976",NA,51.0342,16.968086
"12512",NA,51.123753,16.976824
"11540",NA,51.086975,17.0092
"11367",NA,51.072296,17.010963
"29507",NA,51.162354,17.1252
"17309",NA,51.09561,16.965538
"11451",NA,51.088154,17.006115
"812901",NA,51.10303,16.8313
"17114",NA,51.074673,16.962873
"11233",NA,51.084305,17.025295
"12405",NA,51.131054,16.96549
"12714",NA,51.136127,16.978922
"10384",NA,51.105473,17.01451
"10520",NA,51.12594,17.006175
"29553",NA,51.17317,17.11356
"10510",NA,51.117493,17.003695
"26101",NA,51.069305,17.054071
"25506",NA,51.09237,17.091288
"120824",NA,51.11134,17.05991
"11321",NA,51.097073,17.032242
"10544",NA,51.108395,17.012197
"12401",NA,51.12819,16.975754
"29537",NA,51.167385,17.106436
"20627",NA,51.124535,17.045218
"21028",NA,51.077045,17.047186
"20362",NA,51.09922,17.034595
"10546",NA,51.111263,17.003382
"23007",NA,51.135212,17.005276
"50000053",NA,51.073765,17.108742
"11702",NA,51.097748,16.993204
"50000056",NA,51.07241,17.116337
"11504",NA,51.098835,17.001486
"11659",NA,51.09424,16.980274
"26301",NA,51.06986,17.032234
"12526",NA,51.13266,16.9593
"24409",NA,51.10374,17.091433
"24101",NA,51.132557,17.065287
"11524",NA,51.093353,17.002642
"18018",NA,51.138306,16.931725
"10274",NA,51.107212,17.021503
"29124",NA,51.14394,17.118946
"11530",NA,51.09638,17.012823
"18701",NA,51.159863,16.90986
"11353",NA,51.084393,17.018059
"10385",NA,51.101353,17.013338
"17730",NA,51.12672,16.914036
"17303",NA,51.09881,16.941769
"11325",NA,51.096294,17.023441
"21013",NA,51.082943,17.05083
"20657",NA,51.1169,17.04352
"20921",NA,51.112015,17.062626
"26311",NA,51.05488,17.026726
"20628",NA,51.12409,17.044842
"24507",NA,51.101013,17.111839
"24404",NA,51.105686,17.077398
"11555",NA,51.07752,16.98334
"12128",NA,51.120995,16.945953
"12607",NA,51.139168,16.965288
"10523",NA,51.117012,17.023186
"24110",NA,51.142067,17.092667
"120616",NA,51.124752,17.034664
"20303",NA,51.110786,17.048689
"20722",NA,51.122406,17.052542
"11343",NA,51.09009,17.017998
"10052",NA,51.105247,17.037888
"29512",NA,51.1506,17.11521
"21157",NA,51.08298,17.055077
"31711",NA,51.09466,16.977641
"29116",NA,51.150127,17.1203605
"12121",NA,51.11243,16.959763
"1",NA,51.088387,17.029346
"29119",NA,51.150913,17.1224165
"21131",NA,51.07698,17.042137
"23522",NA,51.15032,17.029037
"10522",NA,51.1168,17.024195
"25010",NA,51.0823,17.07652
